,PL1_1,PL1_2,PL1_3,PL2_2,PL2_3,PL2_1,DIFF_cls,DIFF_pts,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17
44052,1.0,1.0,0.0,0.0,0.0,0.0,0.03191081416052903,0.18377896813771627,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
55659,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12974,1.0,1.0,0.0,0.0,0.0,0.0,-0.3701499431245064,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36926,1.0,0.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70923,0.0,0.0,0.0,0.0,0.0,1.0,0.2275523945407472,0.3279193353045526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23885,1.0,1.0,0.0,0.0,0.0,0.0,-0.19485145294823095,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
66590,0.0,0.0,0.0,0.0,0.0,1.0,0.08173835989870766,-0.9513264233011196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41828,1.0,1.0,0.0,1.0,0.0,0.0,-0.19860402001622462,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37342,1.0,0.0,0.0,0.0,0.0,0.0,-0.25274820199727605,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50717,1.0,1.0,1.0,0.0,0.0,0.0,0.6033731705149927,0.05585439227714905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34503,0.0,0.0,0.0,0.0,0.0,1.0,0.2763357664246648,0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23490,1.0,1.0,0.0,0.0,0.0,0.0,-0.13802686591861263,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53906,1.0,1.0,0.0,0.0,0.0,0.0,-0.1910988858802373,-1.863014245631359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14550,1.0,1.0,1.0,0.0,0.0,0.0,-0.23130496160874084,1.3351001508828213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
840,1.0,1.0,0.0,0.0,0.0,0.0,-0.2323771236281676,-0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23887,0.0,0.0,0.0,0.0,0.0,1.0,0.20342874910364506,0.07207018358341817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8495,1.0,1.0,1.0,0.0,0.0,0.0,0.04906540647135721,0.5675526957194179,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,1.0,1.0,1.0,0.0,0.0,0.0,0.037807705267376215,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16111,1.0,1.0,0.0,0.0,0.0,0.0,-0.24738739190014225,-0.8396176387468215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21606,0.0,0.0,0.0,0.0,0.0,1.0,0.18734631881224362,0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40421,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.19999475944398537,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53092,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.4558439111651198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6978,1.0,1.0,0.0,0.0,0.0,0.0,-0.26078941714297676,0.3117035439982835,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42615,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61479,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-1.3513159421890901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68631,1.0,1.0,0.0,0.0,0.0,0.0,-0.21361428828819928,1.079250999161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13492,1.0,1.0,1.0,0.0,0.0,0.0,0.5336826392522532,0.4396281198588507,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35241,1.0,1.0,0.0,0.0,0.0,0.0,-0.2275523945407472,-0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17298,1.0,1.0,0.0,1.0,0.0,0.0,1.0429595984799649,-1.4792405180496575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45552,1.0,1.0,0.0,0.0,0.0,0.0,-0.3009954928714803,-2.1188633973524933,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31771,1.0,0.0,0.0,0.0,0.0,0.0,-0.1744803745791225,0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35325,0.0,1.0,0.0,0.0,0.0,1.0,0.7148500323702102,0.5837684870256871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10850,0.0,0.0,0.0,1.0,0.0,1.0,0.17823294164711617,-0.6954772715799851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
